#deltat w1 w2 w3 s1 s2 s3
0 -0.548248 -0.638032 0.00708853 10 10 10 
0.01 -0.615234 -0.720808 0.0683385 8.8493 8.66441 10.1457
0.02 -0.651993 -0.749757 -0.0233489 8.79151 8.62128 9.96935
0.03 -0.710373 -0.743296 -0.0186745 8.69641 8.63934 9.98666
0.04 -0.785446 -0.757719 0.128882 8.57367 8.62135 10.294
0.05 -0.806094 -0.783789 0.11506 8.54517 8.58338 10.2738
0.06 -1.06043 -0.726047 0.111449 8.12787 8.69002 10.2746
0.07 -1.08305 -0.654546 0.269175 8.09766 8.82224 10.6124
0.08 -1.12228 -0.536269 0.448487 8.04081 9.04065 11.0087
0.09 -1.19541 -0.599251 0.655556 7.93039 8.93463 11.4833
0.1 -1.28571 -0.425697 0.793865 7.79469 9.25761 11.8149
0.11 -1.32325 -0.456128 0.919222 7.74258 9.2088 12.1245
0.12 -1.35063 -0.460761 0.999121 7.70645 9.20763 12.3297
0.13 -1.29664 -0.452176 1.13465 7.79636 9.23084 12.6786
0.14 -1.29525 -0.377039 0.977159 7.80476 9.3781 12.2953
0.15 -1.31899 -0.34339 0.969199 7.77401 9.44898 12.2856
0.16 -1.37308 -0.481433 1.14085 7.69653 9.19903 12.7248
0.17 -1.33127 -0.328938 1.2095 7.76737 9.49151 12.9111
0.18 -1.39012 -0.197263 1.1262 7.68262 9.75259 12.7079
0.19 -1.31273 -0.277615 1.11766 7.80871 9.60479 12.6964
0.2 -1.16311 -0.237838 1.4515 8.05235 9.68925 13.5839
0.21 -0.983014 -0.06221 1.51825 8.35435 10.0437 13.7775
0.22 -1.08803 -0.029273 1.56376 8.18726 10.1181 13.9146
0.23 -1.32273 -0.0906629 1.34758 7.81808 10.0027 13.3364
0.24 -1.42287 -0.13689 1.26582 7.6692 9.91855 13.1307
0.25 -1.40443 -0.176381 1.09887 7.70369 9.8484 12.7096
0.26 -1.49894 -0.176024 1.21444 7.56549 9.85698 13.0172
0.27 -1.3112 -0.164804 1.23256 7.86125 9.88703 13.0749
0.28 -1.18337 -0.107699 1.18547 8.07128 10.0086 12.9627
0.29 -1.13703 0.0940338 1.40044 8.15294 10.429 13.543
0.3 -1.17414 0.0196047 1.27237 8.09913 10.2831 13.2111
0.31 -1.31301 -0.0186421 1.4205 7.88359 10.213 13.6193
0.32 -1.44617 -0.12347 1.40612 7.68254 10.0091 13.591
0.33 -1.42809 0.110022 1.44129 7.71655 10.4959 13.6979
0.34 -1.39095 0.037911 1.61397 7.78031 10.3539 14.1906
0.35 -1.42729 0.228128 1.65473 7.73014 10.764 14.3182
0.36 -1.52743 0.256727 1.62113 7.58292 10.8344 14.2337
0.37 -1.4367 0.388298 1.70056 7.72796 11.1322 14.4732
0.38 -1.47627 0.445571 1.63712 7.67318 11.2695 14.3021
0.39 -1.52981 0.521987 1.65642 7.59752 11.4522 14.3689
0.4 -1.57533 0.570894 1.60967 7.53471 11.574 14.2466
0.41 -1.57123 0.621375 1.89231 7.54692 11.7008 15.0872
0.42 -1.6374 0.556875 2.06888 7.45367 11.5601 15.642
0.43 -1.48603 0.591067 2.06106 7.68891 11.6487 15.6301
0.44 -1.50365 0.349494 1.96495 7.668 11.1082 15.3448
0.45 -1.50554 0.345341 1.95154 7.67123 11.1079 15.3159
0.46 -1.49385 0.414792 1.88417 7.69534 11.2722 15.123
0.47 -1.49963 0.398979 1.88546 7.6926 11.2456 15.139
0.48 -1.36331 0.262934 1.98236 7.91155 10.9525 15.4477
0.49 -1.46979 0.323981 2.01451 7.75105 11.096 15.5598
0.5 -1.44144 0.395411 1.9919 7.80135 11.2646 15.5019
0.51 -1.42284 0.494612 1.94783 7.83669 11.4995 15.3782
0.52 -1.49232 0.362492 2.04265 7.73474 11.2086 15.6852
0.53 -1.52637 0.26679 2.16863 7.68839 11.0049 16.0983
0.54 -1.69372 0.383158 2.17364 7.44127 11.2731 16.1273
0.55 -1.65386 0.605542 2.31653 7.50682 11.7952 16.6081
0.56 -1.676 0.553676 2.1748 7.47964 11.6828 16.1569
0.57 -1.7544 0.545633 2.09062 7.36917 11.6734 15.8999
0.58 -1.62978 0.52445 2.03953 7.5612 11.6333 15.7508
0.59 -1.70747 0.576487 2.24474 7.45057 11.7645 16.4238
0.6 -1.61936 0.544594 2.27836 7.5891 11.699 16.5479
0.61 -1.6381 0.507866 2.28497 7.56675 11.6227 16.583
0.62 -1.58352 0.515417 2.27124 7.65593 11.6496 16.5508
0.63 -1.6287 0.368325 2.33658 7.59314 11.3209 16.7819
0.64 -1.56002 0.198929 2.2661 7.70432 10.9525 16.5603
0.65 -1.63354 0.274187 2.39614 7.59794 11.1275 17.0102
0.66 -1.55642 0.377694 2.32986 7.72221 11.3694 16.7997
0.67 -1.49187 0.461486 2.40732 7.82881 11.5708 17.0756
0.68 -1.52099 0.491304 2.50659 7.78958 11.6493 17.4319
0.69 -1.67 0.658414 2.36051 7.56692 12.0549 16.9435
